zcta,Accessory Apartments Banned,No Flexible Zoning By Right,No Flexible Zoning By Permit,Affordable Incentive,Affordable Mandate,Zoning District Count,Permit Cap Or Phasing,Wetlands Restricted in Lot Size Calc,Longest Frontage Requirement,Highest Res Min Lot Size,Mean Res Min Lot Size,Lowest Res Min Lot Size,Mandatory Approval Steps,Distinct Approval Bodies,Public Hearing Requirements,Max Review Waiting Time,Multifamily Not Allowed,No Mixed-Use Buildings,No Conversion to Multifamily,Townhouses Not Allowed,Age-Restricted Provisions,First_PC,Second_PC,Third_PC,Overall_Index
 ,0.5625,0.0,0.765625,0.359375,0.046875,11.6875,0.1875,0.03125,88.59375,43326.875,18825.390625,4018.75,4.8125,2.640625,0.375,301.65625,0.984375,0.703125,0.5,0.734375,0.359375,0.5928200107893603,-0.18670166997433763,0.13546333019205914,-0.6303386632501614
01001,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,125.0,20000.0,16000.0,12000.0,7.0,4.0,1.0,151.0,1.0,0.0,0.0,0.0,1.0,-0.4400864293139506,0.9443504419844045,-0.649472120224242,2.891717418563875
01002,1.0,0.0,0.9394555418066113,0.9516528195156443,0.0,21.619674739261093,0.9516528195156443,0.04834718048435566,12.718755524129397,1097.754993812975,1097.754993812975,0.0,5.048347180484356,4.012197277709033,0.9516528195156443,244.29724235460492,0.987802722290967,0.9394555418066113,0.9394555418066113,0.9516528195156443,0.987802722290967,3.5271110474128546,0.5926348125043901,-0.5635118669251176,5.926584300573349
01003,1.0,0.0,1.0,1.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,250.0,1.0,1.0,1.0,1.0,1.0,3.744008199713459,0.3938569822321002,-0.5735498161712784,5.520499586422735
01005,0.0,0.0,0.0005037783375314861,0.0,0.0,7.99647355163728,0.0005037783375314861,0.0,199.97481108312343,79991.60705289672,38345.93115029388,15024.352644836272,6.998992443324937,1.0015113350125944,0.9994962216624685,353.9294710327456,1.0,0.0,0.0005037783375314861,0.0,0.0,-1.2538295930180012,3.2124469927137764,1.0202974592206229,10.317267690431095
01007,0.0042293233082706765,0.9957706766917294,0.9957706766917294,0.0,0.0,13.94078947368421,0.9957706766917294,0.0042293233082706765,249.78853383458647,39830.827067669175,34851.97368421053,19915.413533834588,4.008458646616542,4.0,0.0,258.44172932330827,1.0,0.9957706766917294,0.9957706766917294,0.9957706766917294,1.0,1.6086998095184761,0.2339765898956799,-2.624866824931366,-2.367138503979448
01008,1.0,0.0,0.043973941368078175,0.0,0.0,4.7817589576547235,0.021172638436482084,0.9348534201954397,291.2866449511401,84291.53094462541,57074.10423452769,29856.677524429968,8.69543973941368,2.1742671009771986,0.043973941368078175,259.55374592833874,0.9788273615635179,0.0,0.0,0.9788273615635179,0.0,0.01880003291262379,4.046297185295096,-1.5568138537241443,9.2108683302858
01009,1.0,0.0,1.0,0.0,0.0,15.0,0.0,1.0,70.0,60000.0,45000.0,30000.0,5.0,2.0,1.0,265.0,1.0,1.0,0.0,1.0,1.0,1.994393953222377,1.371709912930416,-0.8565094108861739,4.242606838745773
01010,0.005353955978584176,0.0,1.0,0.0,0.0,6.0,0.0,0.9946460440214159,0.8030933967876264,65231.1005353956,65150.79119571683,65070.48185603807,5.0107079119571685,2.0053539559785842,0.0,288.4473527662106,0.005353955978584176,0.0,0.0,0.0,1.0,-0.6180250444486421,5.991712228819825,-0.4289329769485463,16.790826698504684
01011,0.0,0.0,0.8631921824104235,0.0,0.0,6.726384364820847,0.0,0.0,200.0,98358.30618892508,68434.31053203042,8631.921824104234,5.0,4.136807817589577,0.0,21.205211726384366,0.0,0.8631921824104235,0.0,0.0,0.0,-1.1899188837260244,2.833446361548678,-1.4309680410122696,6.3692739524201105
