item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
1,2022-000438DRP,322 Frederick Street,"Continued to June 6, 2024","So, Williams, Braun, Imperial, Moore, Diamond",,,0,continuance,2024-05-23
2,2023-007010CUA,1310 Junipero Serra Boulevard,"Continued to June 13, 2024","So, Williams, Braun, Imperial, Moore, Diamond",,,0,continuance,2024-05-23
3,2023-011051OFA,350 Rhode Island Street,Withdrawn,,,,0,continuance,2024-05-23
16,2015-006356CUA,336 Pierce Street,"Continued to June 13, 2024","So, Williams, Braun, Imperial, Moore, Diamond",,,0,continuance,2024-05-23
17,2022-000156CUA,1133 Anza Street,"Continued to June 13, 2024","So, Williams, Braun, Imperial, Moore, Diamond",,,0,continuance,2024-05-23
9,2024-001873PCAMAP,135 Kissling Street,Approved with Modifications,"So, Williams, Braun, Diamond","Imperial, Moore",21566,4,regular_calendar,2024-05-23
10,2023-006117PCA,,Motion to Approve without Staff Modifications failed,"Williams, Imperial, Moore","So, Braun, Diamond",,17,regular_calendar,2024-05-23
11,2024-002694PCA,,"Approved with Modification No. 2 and the technical footnote provided by Staff,","So, Williams, Braun, Imperial, Moore, Diamond",,21567,3,regular_calendar,2024-05-23
12,2024-003742PPS,880 Mcallister Street,Reviewed and Commented,,,,6,regular_calendar,2024-05-23
13,2023-009969CUA,249 Texas Street,"After a motion to approve failed +3 -3 (Williams, Imperial, Moore against; Koppel","So, Braun, Moore, Diamond","Williams, Imperial",,12,regular_calendar,2024-05-23
14,2022-006764CUA,680 Mission Street,Approved with Conditions,"So, Braun, Imperial, Moore, Diamond",Williams,21568,3,regular_calendar,2024-05-23
15,2023-002811CUA,466 Elizabeth Street,Approved with Conditions,"So, Williams, Braun, Imperial, Moore, Diamond",,21569,5,regular_calendar,2024-05-23
