item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
1a,2022-009794DRP,1153 Guerrero Street,"Continued to May 2, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-04-04
1b,2022-009794VAR,1153 Guerrero Street,"ZA Continued to May 2, 2024",,,,0,continuance,2024-04-04
2,2023-007496DRP,638 Rhode Island Street,"Continued to May 9, 2024","Williams, Braun, Imperial, Koppel, Moore, Diamond",,,0,continuance,2024-04-04
3,2022-006831DRM,619 Marina Boulevard,Withdrawn,,,,0,continuance,2024-04-04
4,2023-001109CUA,254 Jules Avenue,Approved with Conditions,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,21538,0,consent_calendar,2024-04-04
5,2023-011365CUA,680 Folsom Street,Approved with Conditions,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,21539,0,consent_calendar,2024-04-04
6,2022-008992CUA,410 Jessie Street,Approved with Conditions,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,21540,0,consent_calendar,2024-04-04
13,2020-005089PRJ,,Reviewed and Commented,,,,6,regular_calendar,2024-04-04
14,2021-010333CUA,600 20Th Street,Approved with Conditions as amended by Staff,"Williams, Braun, Imperial, Koppel, Moore, Diamond",,21544,3,regular_calendar,2024-04-04
15a,2020-004486DRP,820 Laguna Honda Boulevard,"Took DR approving the BPA, and adding condition that an NSR be recorded to","Braun, Imperial, Moore, Diamond","Williams, Koppel",,25,regular_calendar,2024-04-04
15b,2020-004486VAR,820 Laguna Honda Boulevard,"ZA closed the PH and indicated an intent to Grant, with a condition that any",,,,0,regular_calendar,2024-04-04
