item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
1,2023-006996PCA,,"Continued to December 7, 2023","Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",None,,0,continuance,2023-11-02
2,2023-005549PCA,,"Continued to November 16, 2023","Braun, Diamond, Imperial, Koppel, Moore, Tanner",None,,0,continuance,2023-11-02
3,2021-010176CUA,2261 Fillmore Street,Continued Indefinitely,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",None,,0,continuance,2023-11-02
4,2021-003953CUA,2340 Vallejo Street,Continued Indefinitely,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",None,,0,continuance,2023-11-02
5,2022-006620DRP,967 De Haro Street,Withdrawn,,,,0,continuance,2023-11-02
16,2023-008250PCAMAP,800 Chestnut Street,"Continued to November 9, 2023","Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",None,,0,continuance,2023-11-02
6,2022-006094CUA,2999 California Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",None,21425,0,consent_calendar,2023-11-02
7,2022-006347CUA,3420 18Th Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",None,21426,0,consent_calendar,2023-11-02
8,2022-006178CUA,750 Van Ness Avenue,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",None,21427,0,consent_calendar,2023-11-02
9,2022-006503CUA,750 Van Ness Avenue,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",None,21428,0,consent_calendar,2023-11-02
10,2022-006187CUA,750 Van Ness Avenue,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",None,21429,0,consent_calendar,2023-11-02
17,2018-008802MAP,68 Nantucket Avenue,Approved,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",None,21430,2,regular_calendar,2023-11-02
19,2023-002914CUA,324 Fair Oaks Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",None,21432,3,regular_calendar,2023-11-02
20,2023-003074CUA,600 Ortega Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",None,21433,3,regular_calendar,2023-11-02
21,2022-008829CUA,2277 33Rd Avenue,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",None,21434,3,regular_calendar,2023-11-02
22a,2019-015792DRP,355 Lombard Street,Took DR and Approved with Staff modifications,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",None,,6,regular_calendar,2023-11-02
22b,2019-015792VAR,355 Lombard Street,ZA Closed the PH and indicated an intent to Grant.,,,,0,regular_calendar,2023-11-02
