item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
1a,2023-004909DRP,1336 Shotwell Street,"Continued to March 7, 2024","Braun, Ruiz, Imperial, Koppel, Moore",,,0,continuance,2024-01-25
1b,2023-004909VAR,1336 Shotwell Street,"Continued to March 7, 2024","Braun, Ruiz, Imperial, Koppel, Moore",,,0,continuance,2024-01-25
2,2023-002996CUA,809 Vermont Street,"Continued to March 7, 2024","Braun, Ruiz, Imperial, Koppel, Moore",,,0,continuance,2024-01-25
3,2022-006831DRM,619 Marina Boulevard,"Continued to April 4, 2024","Braun, Ruiz, Imperial, Koppel, Moore",,,0,continuance,2024-01-25
4,2020-010990DRP,2536 California Street,Withdrawn,"Braun, Ruiz, Imperial, Koppel, Moore",,,0,continuance,2024-01-25
18a,2022-009794DRP,1153 Guerrero Street,"Continued to February 29, 2024","Braun, Ruiz, Imperial, Koppel, Moore",,,0,continuance,2024-01-25
18b,2022-009794VAR,1153 Guerrero Street,"Acting ZA Continued to February 29, 2024","Braun, Ruiz, Imperial, Koppel, Moore",,,0,continuance,2024-01-25
6,2023-010498CUA,1075 Market Street,Approved with Conditions,"Braun, Ruiz, Imperial, Koppel, Moore",,21493,0,consent_calendar,2024-01-25
7,2023-011439CUA,16 Jessie Street,Approved with Conditions,"Braun, Ruiz,  Imperial, Koppel, Moore",,21494,0,consent_calendar,2024-01-25
8,2023-007870CUA,3820 24Th Street,Approved with Conditions,"Braun, Ruiz, Imperial, Koppel, Moore",,21495,0,consent_calendar,2024-01-25
5,2019-014146CTZ,520 John Muir Drive,After being pulled off of Consent; Approved with Conditions,"Braun, Ruiz, Imperial, Koppel, Moore",,21496,4,regular_calendar,2024-01-25
15,2023-010074CRV,,Reviewed and Commented,,,,3,regular_calendar,2024-01-25
16,2015-012491CUA,749 Toland Street,Reviewed and Commented,,,,26,regular_calendar,2024-01-25
17,2022-008254CUA,2351 Mission Street,Approved with Conditions,"Braun, Ruiz, Imperial, Koppel, Moore",,21497,11,regular_calendar,2024-01-25
