item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
14,2023-002390DRP,426 Fillmore Street,"Continued to March 14, 2024","Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,,0,continuance,2024-01-11
1,2015-016326CUA,,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21477,0,consent_calendar,2024-01-11
2,2023-008213CUA,555 Pacific Avenue,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21478,0,consent_calendar,2024-01-11
3,2018-011446CUA,399 Fremont Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21479,0,consent_calendar,2024-01-11
4,2022-011378CUA,320 Dolores Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21480,0,consent_calendar,2024-01-11
10,2023-010059PCA,,Approved with Staff Recommendations,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21481,4,regular_calendar,2024-01-11
11,2019-021884ENV,2500 Mariposa Street,Certified,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21482,8,regular_calendar,2024-01-11
12a,2019-021884ENV,2500 Mariposa Street,Adopted CEQA Findings,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21483,0,regular_calendar,2024-01-11
12b,2019-021884GPA,2500 Mariposa Street,Adopted a Recommendation to Amend GP,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21484,0,regular_calendar,2024-01-11
12c,2019-021884PCAMAP,2500 Mariposa Street,Approved,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21485,0,regular_calendar,2024-01-11
12d,2019-021884SHD,2500 Mariposa Street,Adopted Shadow Findings,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21486,0,regular_calendar,2024-01-11
12e,2019-021884CUA,2500 Mariposa Street,Approved with Conditions,"Braun, Ruiz, Diamond, Imperial, Koppel, Moore, Tanner",,21487,0,regular_calendar,2024-01-11
13,2022-000112ENV,,Reviewed and Commented,,,,4,regular_calendar,2024-01-11
