item_num,code,address,action,aye_votes,nay_votes,motion_or_resolution,speakers_count,section,meeting_date
1a,2024-007906GPA,,"Continued to October 24, 2024","Campbell, McGarry, Williams, Braun, Moore, So",None,,0,continuance,2024-10-17
1b,2024-006988PCAMAP,,"Continued to October 24, 2024","Campbell, McGarry, Williams, Braun, Moore, So",None,,0,continuance,2024-10-17
10,2024-008341PPS,915 Bryant Street,None – Informational,,,,2,regular_calendar,2024-10-17
11,2024-008754PPS,777 Sutter Street,None – Informational,,,,11,regular_calendar,2024-10-17
12,2015-014028DVA,3333 California Street,Approved,"Campbell, McGarry, Williams, Braun, Moore, So",None,21628,15,regular_calendar,2024-10-17
13,2014-002541PHA,700 Innes Avenue,Approved,"Campbell, McGarry, Williams, Braun, Moore, So",None,21629,11,regular_calendar,2024-10-17
14,2024-005356CUA,233 Whitney Street,"Adopted a Motion of Intent to Disapprove and Continued to October 24, 2024,","Campbell, McGarry, Williams, Braun, Moore, So",None,,13,regular_calendar,2024-10-17
15,2023-007010CUA,1310 Junipero Serra Boulevard,"After hearing and closing public comment; Continued to January 9, 2025 with","Campbell, McGarry, Williams, Braun, Moore, So",None,,18,regular_calendar,2024-10-17
16a,2019-020611CUA,5116 3Rd Street,Approved with Conditions,"Campbell, McGarry, Williams, Braun","Moore, So",21630,6,regular_calendar,2024-10-17
16b,2019-020611VAR,5116 3Rd Street,ZA closed the PH and took the matter under advisement,,,,0,regular_calendar,2024-10-17
17,2022-009019DRP,1329 Bay Street,No DR,"Campbell, McGarry, Williams, Braun, Moore, So",None,,6,regular_calendar,2024-10-17
