csa,cbsa,msa_name,metro_micro_code,new_permits_total,new_permits_1,new_permits_2,new_permits_3_and_4,new_permits_5_or_more,num of structures with 5 units or more
512,30180,"le mars, ia",5,147,29,2,4,112,5
999,30060,"lebanon, mo",5,61,41,0,20,0,0
276,30140,"lebanon, pa",2,315,277,2,0,36,1
999,30150,"lebanon-claremont, nh-vt",5,998,547,30,26,395,19
146,30260,"lewisburg, pa",5,49,43,6,0,0,0
400,30280,"lewisburg, tn",5,400,319,0,6,75,12
999,30300,"lewiston, id-wa",4,226,129,22,3,72,4
438,30340,"lewiston-auburn, me",2,358,275,22,4,57,3
999,30380,"lewistown, pa",5,58,58,0,0,0,0
548,30500,"lexington park, md",2,366,363,0,3,0,0
999,30420,"lexington, ne",5,69,33,0,0,36,3
336,30460,"lexington-fayette, ky",2,2201,1392,46,53,710,46
999,30580,"liberal, ks",5,23,23,0,0,0,0
338,30620,"lima, oh",2,88,86,2,0,0,0
522,30660,"lincoln, il",5,10,10,0,0,0,0
339,30700,"lincoln, ne",2,2034,1075,8,8,943,31
340,30780,"little rock-north little rock-conway, ar",2,2530,1981,82,16,451,24
558,30820,"lock haven, pa",5,44,44,0,0,0,0
999,30860,"logan, ut-id",4,1111,961,4,0,146,9
999,30900,"logansport, in",5,22,22,0,0,0,0
999,30980,"longview, tx",4,316,259,34,8,15,2
440,31020,"longview-kelso, wa",2,348,292,4,12,40,6
105,31060,"los alamos, nm",5,14,14,0,0,0,0
348,31080,"los angeles-long beach-anaheim, ca",2,26671,11681,1374,351,13265,384
350,31140,"louisville-jefferson county, ky-in",2,5771,3715,114,88,1854,64
352,31180,"lubbock, tx",2,2231,1933,46,0,252,13
999,31220,"ludington, mi",5,177,80,0,0,97,4
999,31260,"lufkin, tx",5,120,98,22,0,0,0
246,31300,"lumberton, nc",5,337,335,2,0,0,0
999,31340,"lynchburg, va",4,1404,967,38,0,399,9
999,31380,"macomb, il",5,0,0,0,0,0,0
356,31420,"macon-bibb county, ga",2,591,575,0,10,6,1
999,31500,"madison, in",5,94,90,4,0,0,0
357,31540,"madison, wi",2,5872,1688,146,15,4023,75
999,31580,"madisonville, ky",5,122,114,8,0,0,0
999,31620,"magnolia, ar",5,14,14,0,0,0,0
284,31680,"malvern, ar",5,4,4,0,0,0,0
148,31700,"manchester-nashua, nh",2,981,514,60,26,381,18
999,31740,"manhattan, ks",4,339,282,22,0,35,2
999,31820,"manitowoc, wi",5,100,88,12,0,0,0
359,31860,"mankato, mn",2,378,113,36,28,201,11
360,31900,"mansfield, oh",2,145,124,6,15,0,0
425,31930,"marietta, oh",5,3,3,0,0,0,0
361,31940,"marinette, wi-mi",5,171,167,4,0,0,0
999,31980,"marion, in",5,52,44,0,0,8,1
172,32000,"marion, nc",5,175,175,0,0,0,0
198,32020,"marion, oh",5,53,47,0,6,0,0
166,32060,"marion-herrin, il",5,130,72,2,51,5,1
999,32100,"marquette, mi",5,91,89,2,0,0,0
999,32140,"marshall, mn",5,91,19,0,0,72,2
999,32180,"marshall, mo",5,11,9,2,0,0,0
999,32260,"marshalltown, ia",5,35,25,4,6,0,0
542,32280,"martin, tn",5,69,69,0,0,0,0
999,32300,"martinsville, va",5,38,33,0,0,5,1
999,32340,"maryville, mo",5,49,45,4,0,0,0
999,32380,"mason city, ia",5,54,32,12,4,6,1
999,32390,"massena-ogdensburg, ny",5,215,215,0,0,0,0
424,32460,"mayfield, ky",5,9,9,0,0,0,0
999,32540,"mcalester, ok",5,46,46,0,0,0,0
365,32580,"mcallen-edinburg-mission, tx",2,7378,4391,752,1594,641,107
999,32620,"mccomb, ms",5,10,10,0,0,0,0
999,32660,"mcminnville, tn",5,282,259,4,7,12,2
999,32700,"mcpherson, ks",5,102,78,24,0,0,0
240,32740,"meadville, pa",5,83,83,0,0,0,0
366,32780,"medford, or",2,904,643,46,3,212,19
368,32820,"memphis, tn-ms-ar",2,4205,3109,4,3,1089,46
232,32860,"menomonie, wi",5,151,129,22,0,0,0
488,32900,"merced, ca",2,459,456,0,3,0,0
999,32940,"meridian, ms",5,18,18,0,0,0,0
190,33020,"mexico, mo",5,27,25,2,0,0,0
309,33060,"miami, ok",5,3,3,0,0,0,0
370,33100,"miami-fort lauderdale-west palm beach, fl",2,16136,5558,402,141,10035,278
176,33140,"michigan city-la porte, in",2,216,141,0,0,75,11
371,33180,"middlesborough, ky",5,44,44,0,0,0,0
474,33220,"midland, mi",2,320,110,6,0,204,6
372,33260,"midland, tx",2,1509,1505,0,4,0,0
999,33300,"milledgeville, ga",5,202,100,22,68,12,2
376,33340,"milwaukee-waukesha, wi",2,3930,1706,336,4,1884,62
508,33380,"minden, la",5,36,36,0,0,0,0
206,33420,"mineral wells, tx",5,27,27,0,0,0,0
378,33460,"minneapolis-st. paul-bloomington, mn-wi",2,14828,9396,228,149,5055,143
999,33500,"minot, nd",4,135,115,20,0,0,0
999,33540,"missoula, mt",4,777,384,12,27,354,30
999,33580,"mitchell, sd",5,74,58,12,4,0,0
190,33620,"moberly, mo",5,25,21,4,0,0,0
380,33660,"mobile, al",2,1678,1340,2,72,264,8
488,33700,"modesto, ca",2,923,854,6,0,63,8
384,33740,"monroe, la",2,385,378,4,3,0,0
220,33780,"monroe, mi",2,264,214,10,0,40,8
388,33860,"montgomery, al",2,773,734,2,0,37,4
320,33900,"monticello, in",5,47,47,0,0,0,0
408,33910,"monticello, ny",5,739,578,150,6,5,1
999,33940,"montrose, co",5,271,241,4,4,22,1
404,33980,"morehead city, nc",5,935,559,16,0,360,19
999,34020,"morgan city, la",5,37,17,0,0,20,4
999,34060,"morgantown, wv",4,25,10,0,0,15,1
315,34100,"morristown, tn",2,552,459,6,39,48,2
446,34140,"moscow, id",5,199,121,6,0,72,5
393,34180,"moses lake, wa",5,559,470,54,0,35,7
999,34220,"moultrie, ga",5,94,64,30,0,0,0
268,34340,"mount airy, nc",5,243,241,2,0,0,0
394,34380,"mount pleasant, mi",5,72,66,6,0,0,0
999,34420,"mount pleasant, tx",5,53,41,2,0,10,2
336,34460,"mount sterling, ky",5,56,54,2,0,0,0
999,34500,"mount vernon, il",5,6,6,0,0,0,0
198,34540,"mount vernon, oh",5,195,187,8,0,0,0
500,34580,"mount vernon-anacortes, wa",2,561,266,2,23,270,18
999,34260,"mountain home, ar",5,47,37,4,6,0,0
147,34300,"mountain home, id",5,129,129,0,0,0,0
294,34620,"muncie, in",2,171,107,4,3,57,10
999,34660,"murray, ky",5,81,15,0,0,66,2
396,34680,"murrells inlet, sc",5,323,323,0,0,0,0
209,34700,"muscatine, ia",5,65,20,0,0,45,3
266,34740,"muskegon-norton shores, mi",2,438,323,0,0,115,2
538,34780,"muskogee, ok",5,58,58,0,0,0,0
396,34820,"myrtle beach-conway-north myrtle beach, sc",2,7369,7302,4,3,60,12
999,34860,"nacogdoches, tx",5,35,35,0,0,0,0
999,34880,"nantucket, ma",5,262,218,24,0,20,4
488,34900,"napa, ca",2,427,238,0,0,189,11
163,34940,"naples-marco island, fl",2,3520,2486,10,65,959,40
400,34980,"nashville-davidson--murfreesboro--franklin, tn",2,19947,14415,90,58,5384,94
999,35020,"natchez, ms-la",5,33,33,0,0,0,0
999,35060,"natchitoches, la",5,95,95,0,0,0,0
404,35100,"new bern, nc",5,631,612,2,12,5,1
294,35220,"new castle, in",5,47,43,4,0,0,0
405,35300,"new haven, ct",2,1059,181,28,71,779,30
318,35340,"new iberia, la",5,94,90,0,4,0,0
406,35380,"new orleans-metairie, la",2,1627,1004,322,14,287,9
184,35420,"new philadelphia-dover, oh",5,244,229,12,3,0,0
359,35580,"new ulm, mn",5,41,23,0,0,18,3
408,35620,"new york-newark-jersey city, ny-nj",2,58580,12827,2470,1053,42230,1237
192,35140,"newberry, sc",5,155,155,0,0,0,0
999,35440,"newport, or",5,287,150,10,20,107,7
315,35460,"newport, tn",5,13,1,6,6,0,0
515,35660,"niles, mi",2,397,342,12,3,40,8
536,35700,"nogales, az",5,340,338,2,0,0,0
999,35740,"norfolk, ne",5,293,63,34,0,196,5
999,35820,"north platte, ne",5,69,47,4,18,0,0
412,35840,"north port-bradenton-sarasota, fl",2,14938,10889,52,77,3920,79
999,35900,"north wilkesboro, nc",5,134,134,0,0,0,0
184,35940,"norwalk, oh",5,40,40,0,0,0,0
405,35980,"norwich-new london-willimantic, ct",2,487,237,6,0,244,9
500,36020,"oak harbor, wa",5,402,297,4,47,54,7
999,36100,"ocala, fl",4,7071,6409,124,4,534,22
480,36180,"ocean pines, md",5,354,338,2,8,6,1
372,36220,"odessa, tx",2,1004,1004,0,0,0,0
482,36260,"ogden, ut",2,3287,2089,28,112,1058,72
999,36340,"oil city, pa",5,42,42,0,0,0,0
370,36380,"okeechobee, fl",5,18,18,0,0,0,0
416,36420,"oklahoma city, ok",2,6896,5880,392,43,581,28
160,36460,"olean, ny",5,128,97,10,0,21,4
500,36500,"olympia-lacey-tumwater, wa",2,1222,672,32,10,508,18
420,36540,"omaha, ne-ia",2,7214,3524,132,15,3543,159
999,36580,"oneonta, ny",5,133,123,0,0,10,2
147,36620,"ontario, or-id",5,274,237,6,31,0,0
318,36660,"opelousas, la",5,142,142,0,0,0,0
192,36700,"orangeburg, sc",5,87,87,0,0,0,0
422,36740,"orlando-kissimmee-sanford, fl",2,23644,15173,98,163,8210,222
118,36780,"oshkosh-neenah, wi",2,652,289,30,0,333,16
218,36820,"oskaloosa, ia",5,13,11,2,0,0,0
393,36830,"othello, wa",5,49,45,4,0,0,0
176,36837,"ottawa, il",5,109,100,6,3,0,0
312,36840,"ottawa, ks",5,85,75,6,4,0,0
999,36900,"ottumwa, ia",5,44,38,0,6,0,0
378,36940,"owatonna, mn",5,28,24,4,0,0,0
999,36980,"owensboro, ky",4,227,199,18,4,6,1
330,37020,"owosso, mi",5,74,72,2,0,0,0
999,37060,"oxford, ms",5,527,455,38,34,0,0
348,37100,"oxnard-thousand oaks-ventura, ca",2,1759,515,2,46,1196,47
222,37120,"ozark, al",5,38,38,0,0,0,0
424,37140,"paducah, ky-il",2,192,76,12,0,104,13
300,37260,"palatka, fl",5,113,113,0,0,0,0
999,37300,"palestine, tx",5,29,20,6,3,0,0
999,37340,"palm bay-melbourne-titusville, fl",4,4602,3888,12,0,702,18
999,37420,"pampa, tx",5,7,7,0,0,0,0
999,37460,"panama city-panama city beach, fl",4,2690,2103,16,12,559,43
308,37500,"paragould, ar",5,265,106,18,6,135,1
999,37540,"paris, tn",5,19,19,0,0,0,0
999,37580,"paris, tx",5,133,46,16,0,71,2
425,37620,"parkersburg-vienna, wv",2,138,105,0,0,33,1
429,37740,"payson, az",5,217,215,2,0,0,0
218,37800,"pella, ia",5,122,114,8,0,0,0
999,37860,"pensacola-ferry pass-brent, fl",4,3462,3314,4,16,128,16
427,37900,"peoria, il",2,196,190,6,0,0,0
294,37940,"peru, in",5,35,35,0,0,0,0
999,37950,"petoskey, mi",5,161,159,2,0,0,0
428,37980,"philadelphia-camden-wilmington, pa-nj-de-md",2,13624,7762,296,512,5054,267
429,38060,"phoenix-mesa-chandler, az",2,45515,30166,1514,258,13577,386
406,38100,"picayune, ms",5,326,318,8,0,0,0
999,38180,"pierre, sd",5,147,32,0,0,115,1
999,38210,"pikeville, ky",5,9,9,0,0,0,0
340,38220,"pine bluff, ar",5,62,52,10,0,0,0
246,38240,"pinehurst-southern pines, nc",2,941,941,0,0,0,0
999,38260,"pittsburg, ks",5,65,63,2,0,0,0
430,38300,"pittsburgh, pa",2,5469,3608,30,93,1738,52
999,38340,"pittsfield, ma",4,130,109,8,3,10,2
352,38380,"plainview, tx",5,13,13,0,0,0,0
999,38420,"platteville, wi",5,120,114,6,0,0,0
999,38460,"plattsburgh, ny",5,192,128,0,0,64,12
515,38500,"plymouth, in",5,147,147,0,0,0,0
999,38540,"pocatello, id",4,325,283,14,22,6,1
999,38620,"ponca city, ok",5,11,9,2,0,0,0
145,38700,"pontiac, il",5,35,26,0,9,0,0
999,38740,"poplar bluff, mo",5,63,7,0,8,48,6
999,38820,"port angeles, wa",5,166,142,20,4,0,0
544,38920,"port lavaca, tx",5,95,95,0,0,0,0
370,38940,"port st. lucie, fl",2,5605,5108,42,20,435,18
999,39040,"port townsend, wa",5,147,147,0,0,0,0
438,38860,"portland-south portland, me",2,2984,1950,148,72,814,64
440,38900,"portland-vancouver-hillsboro, or-wa",2,9129,6253,118,62,2696,91
170,39020,"portsmouth, oh",5,8,8,0,0,0,0
999,39060,"pottsville, pa",5,169,169,0,0,0,0
999,39150,"prescott valley-prescott, az",4,2062,1830,130,4,98,11
999,39220,"price, ut",5,196,28,0,0,168,7
148,39300,"providence-warwick, ri-ma",2,2441,1335,348,102,656,21
482,39340,"provo-orem-lehi, ut",2,6433,5242,16,115,1060,114
444,39380,"pueblo, co",2,269,269,0,0,0,0
446,39420,"pullman, wa",5,49,45,4,0,0,0
412,39460,"punta gorda, fl",2,4585,3583,170,129,703,27
405,39480,"putnam, ct",5,149,149,0,0,0,0
448,39500,"quincy, il-mo",5,68,32,12,24,0,0
376,39540,"racine-mount pleasant, wi",2,505,166,52,0,287,14
450,39580,"raleigh-cary, nc",2,18980,13344,58,4,5574,91
452,39660,"rapid city, sd",2,1551,781,10,20,740,29
154,39700,"raymondville, tx",5,36,36,0,0,0,0
428,39740,"reading, pa",2,258,219,8,4,27,1
454,39780,"red bluff, ca",5,186,186,0,0,0,0
378,39860,"red wing, mn",5,86,78,8,0,0,0
454,39820,"redding, ca",2,246,246,0,0,0,0
456,39900,"reno, nv",2,4391,2474,128,75,1714,103
292,39940,"rexburg, id",5,409,314,0,15,80,4
999,39960,"rice lake, wi",5,156,144,12,0,0,0
458,39980,"richmond, in",5,38,38,0,0,0,0
999,40060,"richmond, va",4,8625,5006,208,3,3408,63
336,40080,"richmond-berea, ky",5,453,337,48,4,64,4
233,40090,"rifle, co",5,316,149,2,12,153,3
365,40100,"rio grande city-roma, tx",5,0,0,0,0,0,0
348,40140,"riverside-san bernardino-ontario, ca",2,14653,11188,292,161,3012,182
999,40180,"riverton, wy",5,22,17,2,3,0,0
468,40260,"roanoke rapids, nc",5,72,72,0,0,0,0
999,40220,"roanoke, va",4,1054,542,26,0,486,12
466,40300,"rochelle, il",5,113,40,6,0,67,9
462,40340,"rochester, mn",2,1521,530,14,4,973,29
464,40380,"rochester, ny",2,1826,943,28,105,750,71
999,40540,"rock springs, wy",5,47,47,0,0,0,0
466,40420,"rockford, il",2,341,297,22,22,0,0
246,40460,"rockingham, nc",5,54,52,2,0,0,0
468,40580,"rocky mount, nc",2,550,545,0,0,5,1
999,40620,"rolla, mo",5,162,41,2,36,83,5
122,40660,"rome, ga",2,355,355,0,0,0,0
999,40700,"roseburg, or",5,190,166,24,0,0,0
999,40740,"roswell, nm",5,88,88,0,0,0,0
999,40760,"ruidoso, nm",5,92,88,0,4,0,0
250,40770,"russellville, al",5,15,15,0,0,0,0
999,40780,"russellville, ar",5,65,55,4,6,0,0
384,40820,"ruston, la",5,171,152,16,3,0,0
999,40860,"rutland, vt",5,90,74,4,12,0,0
472,40900,"sacramento-roseville-folsom, ca",2,11518,8638,156,23,2701,83
999,40940,"safford, az",5,137,133,4,0,0,0
474,40980,"saginaw, mi",2,154,132,14,8,0,0
566,41400,"salem, oh",5,49,28,6,15,0,0
440,41420,"salem, or",2,1768,970,28,40,730,56
999,41460,"salina, ks",5,305,107,0,12,186,8
999,41500,"salinas, ca",4,530,474,2,4,50,4
480,41540,"salisbury, md",2,327,281,2,0,44,8
482,41620,"salt lake city-murray, ut",2,5837,3503,84,200,2050,74
999,41660,"san angelo, tx",4,233,231,2,0,0,0
484,41700,"san antonio-new braunfels, tx",2,14776,10916,28,29,3803,197
999,41740,"san diego-chula vista-carlsbad, ca",4,11759,3398,618,499,7244,323
488,41860,"san francisco-oakland-fremont, ca",2,5829,2777,62,61,2929,117
488,41940,"san jose-sunnyvale-santa clara, ca",2,4119,2196,30,7,1886,41
999,42020,"san luis obispo-paso robles, ca",4,1104,821,10,0,273,17
999,41760,"sandpoint, id",5,147,115,2,6,24,2
184,41780,"sandusky, oh",2,256,241,4,6,5,1
450,41820,"sanford, nc",5,602,602,0,0,0,0
488,42100,"santa cruz-watsonville, ca",2,224,190,6,3,25,5
105,42140,"santa fe, nm",2,244,244,0,0,0,0
999,42200,"santa maria-santa barbara, ca",4,719,484,14,4,217,11
999,42220,"santa rosa-petaluma, ca",4,1039,837,8,9,185,25
999,42300,"sault ste. marie, mi",5,92,52,0,0,40,8
496,42340,"savannah, ga",2,4040,2937,16,0,1087,50
999,42380,"sayre, pa",5,66,66,0,0,0,0
999,42420,"scottsbluff, ne",5,33,30,0,3,0,0
174,42460,"scottsboro, al",5,46,46,0,0,0,0
999,42540,"scranton--wilkes-barre, pa",4,633,565,30,22,16,3
999,42580,"seaford, de",5,4354,3816,182,12,344,14
340,42620,"searcy, ar",5,219,181,2,0,36,3
500,42660,"seattle-tacoma-bellevue, wa",2,17746,6483,930,453,9880,221
370,42680,"sebastian-vero beach-west vero corridor, fl",2,564,281,2,0,281,9
999,42700,"sebring-, fl",4,980,846,54,0,80,5
999,42740,"sedalia, mo",5,109,24,18,21,46,8
146,42780,"selinsgrove, pa",5,48,48,0,0,0,0
388,42820,"selma, al",5,7,7,0,0,0,0
464,42900,"seneca falls, ny",5,48,48,0,0,0,0
273,42860,"seneca, sc",5,648,608,0,0,40,5
315,42940,"sevierville, tn",5,1594,1104,10,24,456,37
294,42980,"seymour, in",5,101,101,0,0,0,0
267,43020,"shawano, wi",5,91,85,6,0,0,0
416,43060,"shawnee, ok",5,183,129,30,8,16,2
999,43100,"sheboygan, wi",4,383,262,16,0,105,5
172,43140,"shelby-kings mountain, nc",5,461,411,12,0,38,2
400,43180,"shelbyville, tn",5,630,622,2,0,6,1
500,43220,"shelton, wa",5,299,299,0,0,0,0
999,43260,"sheridan, wy",5,309,188,22,7,92,7
206,43300,"sherman-denison, tx",2,2272,1492,30,0,750,41
999,43320,"show low, az",5,485,449,18,7,11,2
508,43340,"shreveport-bossier city, la",2,1050,1050,0,0,0,0
212,43380,"sidney, oh",5,337,115,6,0,216,10
999,43420,"sierra vista-douglas, az",4,437,431,0,0,6,1
164,43460,"sikeston, mo",5,130,90,8,0,32,4
512,43580,"sioux city, ia-ne-sd",2,253,147,8,0,98,3
999,43620,"sioux falls, sd-mn",4,2774,1260,50,33,1431,107
406,43640,"slidell-mandeville-covington, la",2,1064,1060,4,0,0,0
999,43660,"snyder, tx",5,32,32,0,0,0,0
999,43700,"somerset, ky",5,117,48,0,19,50,5
306,43740,"somerset, pa",5,78,78,0,0,0,0
999,43760,"sonora, ca",5,60,60,0,0,0,0
515,43780,"south bend-mishawaka, in-mi",2,882,400,22,0,460,17
317,43890,"sparta, wi",5,93,73,20,0,0,0
273,43900,"spartanburg, sc",2,3186,3146,0,0,40,8
452,43940,"spearfish, sd",5,217,204,2,0,11,1
517,43980,"spencer, ia",5,11,11,0,0,0,0
517,44020,"spirit lake, ia",5,295,264,6,9,16,2
518,44060,"spokane-spokane valley, wa",2,3949,1872,126,87,1864,72
522,44100,"springfield, il",2,234,166,20,0,48,4
521,44140,"springfield, ma",2,453,281,56,0,116,4
999,44180,"springfield, mo",4,2203,1752,66,71,314,14
212,44220,"springfield, oh",2,232,102,0,14,116,17
378,41060,"st. cloud, mn",2,743,439,10,3,291,12
999,41100,"st. george, ut",4,3140,2455,0,35,650,34
312,41140,"st. joseph, mo-ks",2,79,79,0,0,0,0
476,41180,"st. louis, mo-il",2,6691,4653,140,77,1821,106
999,41260,"st. marys, pa",5,53,49,4,0,0,0
523,44260,"starkville, ms",5,74,62,0,0,12,1
524,44300,"state college, pa",2,399,296,28,31,44,5
496,44340,"statesboro, ga",5,694,577,102,9,6,1
277,44420,"staunton-stuarts draft, va",2,566,481,8,7,70,3
999,44460,"steamboat springs, co",5,615,185,12,0,418,21
999,44500,"stephenville, tx",5,110,27,12,10,61,10
999,44540,"sterling, co",5,11,11,0,0,0,0
221,44580,"sterling, il",5,19,19,0,0,0,0
554,44620,"stevens point-plover, wi",5,255,116,24,0,115,4
999,44660,"stillwater, ok",5,182,153,14,3,12,1
488,44700,"stockton-lodi, ca",2,3779,3773,6,0,0,0
999,44740,"storm lake, ia",5,164,91,2,0,71,1
310,44780,"sturgis, mi",5,125,125,0,0,0,0
206,44860,"sulphur springs, tx",5,66,66,0,0,0,0
174,44900,"summerville, ga",5,2,2,0,0,0,0
192,44940,"sumter, sc",2,386,344,42,0,0,0
146,44980,"sunbury, pa",5,108,98,10,0,0,0
999,45000,"susanville, ca",5,6,6,0,0,0,0
101,45020,"sweetwater, tx",5,15,15,0,0,0,0
532,45060,"syracuse, ny",2,925,558,38,0,329,18
999,45140,"tahlequah, ok",5,48,32,16,0,0,0
142,45180,"talladega-sylacauga, al",5,189,183,0,0,6,1
533,45220,"tallahassee, fl",2,2404,1371,22,0,1011,34
999,45300,"tampa-st. petersburg-clearwater, fl",4,20999,13254,152,48,7545,303
999,45340,"taos, nm",5,127,125,2,0,0,0
522,45380,"taylorville, il",5,26,26,0,0,0,0
999,45460,"terre haute, in",4,162,160,2,0,0,0
999,45500,"texarkana, tx-ar",4,162,80,52,25,5,1
999,45520,"the dalles, or",5,48,42,6,0,0,0
122,45580,"thomaston, ga",5,111,107,0,4,0,0
999,45620,"thomasville, ga",5,268,196,0,0,72,2
248,45660,"tiffin, oh",5,45,41,4,0,0,0
999,45700,"tifton, ga",5,185,125,0,0,60,12
999,45740,"toccoa, ga",5,52,52,0,0,0,0
999,45780,"toledo, oh",4,932,634,40,88,170,7
999,45820,"topeka, ks",4,387,318,44,0,25,1
405,45860,"torrington, ct",5,154,137,0,11,6,1
999,45880,"town of pecos, tx",5,22,22,0,0,0,0
999,45900,"traverse city, mi",4,1232,702,18,11,501,19
408,45940,"trenton-princeton, nj",2,2256,927,26,0,1303,46
999,45980,"troy, al",5,42,42,0,0,0,0
472,46020,"truckee-grass valley, ca",5,215,215,0,0,0,0
536,46060,"tucson, az",2,5268,4168,80,24,996,71
400,46100,"tullahoma-manchester, tn",5,420,369,10,35,6,1
538,46140,"tulsa, ok",2,4304,3595,98,10,601,23
539,46180,"tupelo, ms",5,169,125,12,8,24,4
999,46220,"tuscaloosa, al",4,639,518,16,36,69,9
999,46300,"twin falls, id",4,735,639,68,16,12,2
540,46340,"tyler, tx",2,595,451,58,41,45,8
999,46380,"ukiah, ca",5,8,8,0,0,0,0
542,46460,"union city, tn",5,21,21,0,0,0,0
999,46520,"urban honolulu, hi",4,1638,706,136,3,793,20
212,46500,"urbana, oh",5,42,42,0,0,0,0
999,46540,"utica-rome, ny",4,258,190,0,0,68,12
999,46620,"uvalde, tx",5,17,15,2,0,0,0
999,46660,"valdosta, ga",4,983,967,6,0,10,2
488,46700,"vallejo, ca",2,1472,1327,14,0,131,8
338,46780,"van wert, oh",5,44,44,0,0,0,0
999,46820,"vermillion, sd",5,28,18,0,0,10,2
999,46860,"vernal, ut",5,85,73,4,8,0,0
999,46900,"vernon, tx",5,19,4,0,0,15,3
298,46980,"vicksburg, ms",5,12,12,0,0,0,0
544,47020,"victoria, tx",2,53,43,4,6,0,0
999,47080,"vidalia, ga",5,56,32,18,6,0,0
999,47180,"vincennes, in",5,36,36,0,0,0,0
428,47220,"vineland, nj",2,216,143,0,0,73,9
999,47240,"vineyard haven, ma",5,97,91,2,4,0,0
545,47260,"virginia beach-chesapeake-norfolk, va-nc",2,4912,3592,36,34,1250,30
999,47300,"visalia, ca",4,1447,1112,24,4,307,11
999,47340,"wabash, in",5,42,42,0,0,0,0
999,47380,"waco, tx",4,1033,739,94,0,200,19
244,47420,"wahpeton, nd-mn",5,53,53,0,0,0,0
314,47460,"walla walla, wa",2,206,144,12,0,50,5
338,47540,"wapakoneta, oh",5,121,116,2,3,0,0
356,47580,"warner robins, ga",2,1694,1309,46,3,336,4
999,47620,"warren, pa",5,53,23,0,0,30,6
312,47660,"warrensburg, mo",5,80,23,30,0,27,1
515,47700,"warsaw, in",5,261,251,0,0,10,2
198,47920,"washington court house, oh",5,71,52,16,3,0,0
999,47780,"washington, in",5,71,39,32,0,0,0
274,47820,"washington, nc",5,216,216,0,0,0,0
548,47900,"washington-arlington-alexandria, dc-va-md-wv",2,21931,12141,86,24,9680,193
405,47930,"waterbury-shelton, ct",2,502,302,8,21,171,14
999,47940,"waterloo-cedar falls, ia",4,335,210,54,4,67,7
999,47980,"watertown, sd",5,160,81,0,16,63,4
376,48020,"watertown-fort atkinson, wi",5,145,131,14,0,0,0
999,48060,"watertown-fort drum, ny",4,196,196,0,0,0,0
554,48140,"wausau, wi",2,298,217,0,0,81,4
999,48180,"waycross, ga",5,133,115,14,4,0,0
120,48200,"waynesville, nc",5,537,373,14,0,150,7
555,48220,"weatherford, ok",5,29,24,0,0,5,1
430,48260,"weirton-steubenville, wv-oh",2,19,17,2,0,0,0
999,48300,"wenatchee-east wenatchee, wa",4,1025,589,16,43,377,12
999,48460,"west plains, mo",5,53,28,0,25,0,0
999,48540,"wheeling, wv-oh",4,12,12,0,0,0,0
376,48580,"whitewater-elkhorn, wi",5,474,379,18,0,77,1
999,48660,"wichita falls, tx",4,269,233,26,0,10,2
556,48620,"wichita, ks",2,3010,1458,1198,83,271,6
422,48680,"wildwood-the villages, fl",2,3961,3537,176,0,248,10
558,48700,"williamsport, pa",2,73,58,0,0,15,3
999,48780,"williston, nd",5,90,88,2,0,0,0
999,48820,"willmar, mn",5,196,72,6,0,118,1
999,48900,"wilmington, nc",4,9636,7281,86,94,2175,68
178,48940,"wilmington, oh",5,119,114,2,3,0,0
468,48980,"wilson, nc",5,580,398,14,0,168,8
400,49010,"winchester, tn",5,422,387,2,28,5,1
548,49020,"winchester, va-wv",2,1087,1032,0,3,52,2
999,49080,"winnemucca, nv",5,37,37,0,0,0,0
462,49100,"winona, mn",5,37,33,4,0,0,0
268,49180,"winston-salem, nc",2,5536,4004,80,37,1415,96
554,49220,"wisconsin rapids-marshfield, wi",5,122,118,4,0,0,0
999,49260,"woodward, ok",5,2,2,0,0,0,0
184,49300,"wooster, oh",5,284,228,6,8,42,1
148,49340,"worcester, ma",2,2293,980,86,22,1205,28
999,49380,"worthington, mn",5,19,17,2,0,0,0
999,49420,"yakima, wa",4,468,401,30,14,23,3
999,49460,"yankton, sd",5,179,41,0,8,130,10
276,49620,"york-hanover, pa",2,1328,953,26,11,338,24
566,49660,"youngstown-warren, oh",2,276,267,6,3,0,0
472,49700,"yuba city, ca",2,823,766,16,0,41,2
999,49740,"yuma, az",4,1399,1185,34,0,180,11
198,49780,"zanesville, oh",5,140,32,2,6,100,9
